[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003, Quantum Design, Inc. All rights reserved.
TITLE,PFO#2_HIGHTEMPSWEEP_300-600K_0p1_0p5_5T__2019-12-30
FILEOPENTIME,11380959.11,12/30/2019,7:12 pm
BYAPP,VSM,1.0,1.0
INFO,PPMS VSM Option Release 1.3.6 Build 0,APPNAME
INFO,221,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,PFO#2_HIGHTEMPSWEEP_300-600K_0p1_0p5_5T__2019-12-30,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,x,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,rectangular thin film with contacts,SAMPLE_SHAPE
INFO,35.62,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,11445884.28,300.022491455078,10540.347,0.000310980764172655,6.38297189216291E-7,1,4.99626677034896,40.0298881530762,1.99296208666743,11.0400026291609,0.00332760606970161,0.000564143835930814,0.25,-9.31978456808853E-7,0.000311021776887573,-7.21568163590487E-7,294.9992371,294.9997864,10276.243,10804.451,62.3755190916605,21.4708644126002,9.25E-6,0,0,0,5985,294.8099,10540.347,,,,,,,,,,,,,,,,,29.445843,,,,,,294.99951175,,,,
,11445889.335,300.004180908203,11071.521,0.000312293702381468,7.71291742396377E-7,1,4.99626677034896,40.0298881530762,1.99411558992017,11.0500022396445,0.00334438253952012,0.000561789439072803,0.25,-1.4078924142391E-6,0.000312335210785688,-1.19667721239298E-6,294.9990234,294.9997864,10804.451,11338.591,58.9871594607947,21.4581511296088,9.3E-6,0,0,0,5985,294.8121,11071.521,,,,,,,,,,,,,,,,,29.445843,,,,,,294.9994049,,,,
,11445894.32,300.000610351562,11596.764,0.000314516999692997,6.92424032157421E-7,1,4.99626677034896,40.0298881530762,1.99488655312501,11.020002476871,0.00336800485334921,0.000574320994054889,0.25,-6.40464119005759E-7,0.000314558281734319,-4.27667414541907E-7,294.9990234,294.9993286,11338.591,11854.937,60.352664483891,21.4800883492338,9.3E-6,0,0,0,5985,294.81535,11596.764,,,,,,,,,,,,,,,,,29.445843,,,,,,294.999176,,,,
,11445899.25,300.031280517578,12102.233,0.000315651493122305,7.00875212838158E-7,1,4.99626677034896,40.0298881530762,1.99471679477602,11.0300020873547,0.00338093439817125,0.000570223212032001,0.25,-1.21472986192088E-6,0.000315693306451208,-1.00125994223691E-6,294.9993286,295.0003052,11854.937,12349.529,59.6929700136602,21.4817422084768,9.3E-6,0,0,0,5985,294.81565,12102.233,,,,,,,,,,,,,,,,,29.445843,,,,,,294.9998169,,,,
,11445904.235,300.038452148438,12599.0875,0.000316936386190196,6.99297931889258E-7,1,4.99626677034896,40.0298881530762,1.99485932271725,11.0400026291609,0.00339456583214031,0.000574690629290945,0.25,-1.02282182124961E-6,0.000316978234821376,-8.08477118110301E-7,295,295.0003052,12349.529,12848.646,60.8724474491795,21.4877864969907,9.3E-6,0,0,0,5985,294.81565,12599.0875,,,,,,,,,,,,,,,,,29.445843,,,,,,295.0001526,,,,
,11445909.29,299.965270996094,13110.6295,0.00031800471364705,8.25096838794157E-7,1,4.99626677034896,40.0298881530762,1.99541022553218,11.020002476871,0.00340770489229756,0.000572179266370505,0.25,-1.45597902230125E-6,0.000318046996059799,-1.24098786101259E-6,295,295.0002747,12848.646,13372.613,62.0245678865258,21.494579988725,9.3E-6,0,0,0,5985,294.8153,13110.6295,,,,,,,,,,,,,,,,,29.445843,,,,,,295.00013735,,,,
,11445914.275,300.017456054687,13612.99,0.000318367936483006,7.95740224385591E-7,1,4.99626677034896,40.0298881530762,1.99202333266663,11.0300020873547,0.00340629327503751,0.000570439630158214,0.25,-1.59422538345208E-6,0.000318410363391952,-1.3790265102335E-6,294.9996033,295.0002747,13372.613,13853.367,61.4954053790065,21.4644809069589,9.3E-6,0,0,0,5985,294.815,13612.99,,,,,,,,,,,,,,,,,29.445843,,,,,,294.999939,,,,
,11445919.235,299.984283447266,14102.641,0.000319020136809938,7.95086650881878E-7,1,4.99626677034896,40.0298881530762,1.99643095250365,11.020002476871,0.00342000834978516,0.000575767215181017,0.25,-1.32250702201207E-6,0.000319062464656109,-1.10685030442486E-6,294.9996033,295.0005798,13853.367,14351.915,60.9154370177372,21.510699015634,9.25E-6,0,0,0,5985,294.8135,14102.641,,,,,,,,,,,,,,,,,29.445843,,,,,,295.00009155,,,,
,11445924.24,299.962249755859,14597.5175,0.00031976351379522,9.78235440401151E-7,1,4.99626677034896,40.0298881530762,1.99540701834524,11.0100019350648,0.00342566888572212,0.000580427748048716,0.25,-9.89086736541132E-7,0.000319805698883425,-7.72902573114179E-7,295.0005798,295.002594,14351.915,14843.12,60.6285793511795,21.4917302569441,9.25E-6,0,0,0,5985,294.81165,14597.5175,,,,,,,,,,,,,,,,,29.445843,,,,,,295.0015869,,,,
,11445929.24,300.05078125,15091.122,0.000320281475921851,9.42313846228314E-7,1,4.99626677034896,40.0298881530762,1.99516322086488,11.0400026291609,0.00343297696108978,0.000568779083321228,0.25,-2.16015519463872E-6,0.00032032451680323,-1.94379259209984E-6,295.0016174,295.002594,14843.12,15339.124,59.1888196187563,21.4943471561045,9.3E-6,0,0,0,5985,294.81095,15091.122,,,,,,,,,,,,,,,,,29.445843,,,,,,295.0021057,,,,
