[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003, Quantum Design, Inc. All rights reserved.
TITLE,PFO#1_HIGHTEMPSWEEP_300-600K_0p1_0p5_5T__2019-12-0
FILEOPENTIME,9564875.73,12/09/2019,6:44 pm
BYAPP,VSM,1.0,1.0
INFO,PPMS VSM Option Release 1.3.6 Build 0,APPNAME
INFO,221,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,PFO#1_HIGHTEMPSWEEP_300-600K_0p1_0p5_5T__2019-12-0,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,unknown,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,rectangular thin film,SAMPLE_SHAPE
INFO,35.86,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,9726664.25,327.247314453125,1000.176,7.50123086803709E-5,1.72202992709685E-7,1,9.99253354069792,40.0298881530762,1.98897413154067,11.4900009334087,0.000801652229464254,0.000132700327046272,0.25,-5.16825297182931E-7,7.50221106949315E-5,-4.66017862037344E-7,295.1101074,295.1212769,1000.176,1000.176,57.6294707228907,21.6494087217397,9.3E-6,0,0,0,5906,294.73865,1000.176,,,,,,,,,,,,,,,,,29.827055,,,,,,295.11569215,,,,
,9726674.195,328.888793945313,1000.176,7.48192635787277E-5,1.79764690256729E-7,1,9.99253354069792,40.0298881530762,1.98922556106956,11.4800013229251,0.000799998173974098,0.000130565662715034,0.25,-6.84969318556502E-7,7.48291277278826E-5,-6.34308111348488E-7,295.1212769,295.1325989,1000.176,1000.176,58.01637683991,21.6520644276014,9.3E-6,0,0,0,5906,294.7111,1000.176,,,,,,,,,,,,,,,,,29.827055,,,,,,295.1269379,,,,
,9726684.155,330.449401855469,1000.176,7.48572216220838E-5,1.83499704452691E-7,1,9.99253354069792,40.0298881530762,1.98928757687371,11.4900009334087,0.000800591180037696,0.000129688794575689,0.25,-7.74024878003012E-7,7.48671256286698E-5,-7.23343054861194E-7,295.1325989,295.1418762,1000.176,1000.176,58.0820336355254,21.6539117020766,9.3E-6,0,0,0,5910,294.68275,1000.176,,,,,,,,,,,,,,,,,29.827055,,,,,,295.13723755,,,,
,9726694.17,332.247528076172,1000.176,7.44229786999633E-5,1.70747043822717E-7,1,9.99253354069792,40.0298881530762,1.98925438686802,11.4800013229251,0.000795462420599787,0.000131666185430145,0.25,-5.13649729478008E-7,7.4432627422574E-5,-4.63223284610761E-7,295.1418762,295.1523743,1000.176,1000.176,58.6963936516408,21.6522667965494,9.3E-6,0,0,0,5906,294.6513,1000.176,,,,,,,,,,,,,,,,,29.827055,,,,,,295.14712525,,,,
,9726704.21,333.848541259766,1000.176,7.42275264838447E-5,1.6768837012627E-7,1,9.99253354069792,40.0298881530762,1.98928482511313,11.4800013229251,0.000793702947210853,0.000129478814484729,0.25,-6.84983994656146E-7,7.42372414859063E-5,-6.34704842453004E-7,295.1523743,295.1627808,1000.176,1000.176,58.1797372004292,21.6544843683058,9.3E-6,0,0,0,5910,294.61935,1000.176,,,,,,,,,,,,,,,,,29.827055,,,,,,295.15757755,,,,
,9726714.21,335.503662109375,1000.176,7.40651813485187E-5,1.66928498032379E-7,1,9.99253354069792,40.0298881530762,1.98918758393784,11.4900009334087,0.00079205505008853,0.000128462930453976,0.25,-7.5155578563673E-7,7.40748988206681E-5,-7.01388159557588E-7,295.1627808,295.1707458,1000.176,1000.176,58.5392863192754,21.6554227708509,9.3E-6,0,0,0,5910,294.5863,1000.176,,,,,,,,,,,,,,,,,29.827055,,,,,,295.1667633,,,,
,9726724.185,337.221984863281,1000.176,7.37919001647488E-5,1.75704535701235E-7,1,9.99253354069792,40.0298881530762,1.98936480014367,11.4800013229251,0.000789253717491214,0.000127687616582661,0.25,-7.78034351008727E-7,7.38015809194709E-5,-7.28048594692313E-7,295.1707458,295.1797485,1000.176,1000.176,57.0455942190253,21.6482080813191,9.3E-6,0,0,0,5906,294.55335,1000.176,,,,,,,,,,,,,,,,,29.827055,,,,,,295.17524715,,,,
,9726734.185,338.889190673828,1000.176,7.37614435831348E-5,1.80797820399821E-7,1,9.99253354069792,40.0298881530762,1.98934818053749,11.4800013229251,0.000788684584932832,0.000129005783866236,0.25,-6.49216254749514E-7,7.37710115775523E-5,-5.9922786406821E-7,295.1797485,295.188385,1000.176,1000.176,57.9569730724484,21.6564843065716,9.25E-6,0,0,0,5910,294.518,1000.176,,,,,,,,,,,,,,,,,29.827055,,,,,,295.18406675,,,,
,9726744.165,340.544464111328,1000.176,7.35928666884709E-5,1.83111996419704E-7,1,9.99253354069792,40.0298881530762,1.9892879759545,11.4800013229251,0.000787065722313325,0.000127509832038553,0.25,-7.59894741500464E-7,7.36024693422098E-5,-7.10026764078767E-7,295.188385,295.1957703,1000.176,1000.176,57.8834999916407,21.6534102717245,9.25E-6,0,0,0,5906,294.48075,1000.176,,,,,,,,,,,,,,,,,29.827055,,,,,,295.19207765,,,,
,9726754.105,342.163269042969,1000.176,7.3358817914518E-5,1.77785141514205E-7,1,9.99253354069792,40.0298881530762,1.98940625992894,11.4800013229251,0.000784711929561934,0.00012650465865567,0.25,-8.14327182569509E-7,7.33684098440332E-5,-7.64617618006577E-7,295.1957703,295.2037964,1000.176,1000.176,58.1117355192562,21.658854790068,9.3E-6,0,0,0,5910,294.44595,1000.176,,,,,,,,,,,,,,,,,29.827055,,,,,,295.19978335,,,,
